LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
2,15,2022,R64,Auburn,Jacksonville State,-14,80,61,Greenville,236,205,,,,,,,,,,,,,,,,,
3,14,2022,R64,Texas Tech,Montana State,-14.5,97,62,Milwaukee,998,1154,,,,,,,,,,,,,,,,,
3,14,2022,R64,Purdue,Yale,-16.5,78,56,Milwaukee,188,775,,,,,,,,,,,,,,,,,
2,15,2022,R64,Villanova,Delaware,-15,80,60,Buffalo,269,275,,,,,,,,,,,,,,,,,
7,10,2022,R64,USC,Miami FL,-2,66,68,Greenville,2035,640,,,,,,,,,,,,,,,,,
6,11,2022,R64,Alabama,Notre Dame,-4,64,78,San Diego,1710,1800,,,,,,,,,,,,,,,,,
6,11,2022,R64,Texas,Virginia Tech,-1.5,81,73,Milwaukee,1034,563,,,,,,,,,,,,,,,,,
4,13,2022,R64,Illinois,Chattanooga,-7.5,54,53,Pittsburgh,434,472,,,,,,,,,,,,,,,,,
2,15,2022,R64,Duke,CSU Fullerton,-20,78,61,Greenville,210,2015,,,,,,,,,,,,,,,,,
1,16,2022,R64,Arizona,Wright State,-21.5,87,70,San Diego,364,1896,,,,,,,,,,,,,,,,,
6,11,2022,R64,LSU,Iowa State,-3,54,59,Milwaukee,891,300,,,,,,,,,,,,,,,,,
7,10,2022,R64,Michigan State,Davidson,-1.5,74,73,Greenville,554,98,,,,,,,,,,,,,,,,,
5,12,2022,R64,Houston,UAB,-8.5,82,68,Pittsburgh,1138,609,,,,,,,,,,,,,,,,,
8,9,2022,R64,Seton Hall,TCU,-1.5,42,69,Pittsburgh,302,1099,,,,,,,,,,,,,,,,,
3,14,2022,R64,Wisconsin,Colgate,-7.5,67,60,Milwaukee,76,626,,,,,,,,,,,,,,,,,
1,16,2019,R64,Duke,NDSU,-27,85,62,Columbia SC,182,1213,,,,,,,,,,,,,,,,,
8,9,2019,R64,VCU,UCF,-1.5,58,73,Columbia SC,317,373,,,,,,,,,,,,,,,,,
5,12,2019,R64,Mississippi State,Liberty,-7.5,76,80,San Jose CA,1874,2325,,,,,,,,,,,,,,,,,
4,13,2019,R64,Virginia Tech,Saint Louis,-10,66,52,San Jose CA,2261,1717,,,,,,,,,,,,,,,,,
6,11,2019,R64,Maryland,Belmont,-3.5,79,77,Jacksonville FL,655,499,,,,,,,,,,,,,,,,,
3,14,2019,R64,LSU,Yale,-8,79,74,Jacksonville FL,568,902,,,,,,,,,,,,,,,,,
7,10,2019,R64,Louisville,Minnesota,-4.5,76,86,Des Moines IA,476,235,,,,,,,,,,,,,,,,,
2,15,2019,R64,Michigan State,Bradley,-19.5,76,65,Des Moines IA,474,217,,,,,,,,,,,,,,,,,
1,16,2019,R64,UNC,Iona,-25,88,73,Columbus OH,353,483,,,,,,,,,,,,,,,,,
8,9,2019,R64,Utah State,Washington,-3.5,61,78,Columbus OH,1504,2007,,,,,,,,,,,,,,,,,
5,12,2019,R64,Auburn,New Mexico State,-7.5,78,77,Salt Lake City,1561,651,,,,,,,,,,,,,,,,,
4,13,2019,R64,Kansas,Northeastern,-8.5,87,53,Salt Lake City,891,2092,,,,,,,,,,,,,,,,,
6,11,2019,R64,Iowa State,Ohio State,-6,59,62,Tulsa OK,425,753,,,,,,,,,,,,,,,,,
3,14,2019,R64,Houston,Georgia State,-12,84,55,Tulsa OK,446,677,,,,,,,,,,,,,,,,,
7,10,2019,R64,Wofford,Seton Hall,-3,84,68,Jacksonville FL,318,831,,,,,,,,,,,,,,,,,
2,15,2019,R64,Kentucky,Abilene Christian,-22,79,44,Jacksonville FL,557,1075,,,,,,,,,,,,,,,,,
1,16,2019,R64,Virginia,Gardner-Webb,-24,71,56,Columbia SC,312,97,,,,,,,,,,,,,,,,,
8,9,2019,R64,Ole Miss,Oklahoma,-2,72,95,Columbia SC,485,936,,,,,,,,,,,,,,,,,
5,12,2019,R64,Wisconsin,Oregon,-1.5,54,72,San Jose CA,1748,468,,,,,,,,,,,,,,,,,
4,13,2019,R64,Kansas State,UC Irvine,-5.5,64,70,San Jose CA,1375,342,,,,,,,,,,,,,,,,,
6,11,2019,R64,Villanova,Saint Mary's,-5,61,57,Hartford CT,183,2602,,,,,,,,,,,,,,,,,
3,14,2019,R64,Purdue,Old Dominion,-12,61,48,Hartford CT,745,389,,,,,,,,,,,,,,,,,
7,10,2019,R64,Cincinnati,Iowa,-4,72,79,Columbus OH,99,461,,,,,,,,,,,,,,,,,
2,15,2019,R64,Tennessee,Colgate,-17.5,77,70,Columbus OH,281,434,,,,,,,,,,,,,,,,,
1,16,2019,R64,Gonzaga,FDU,-26.5,87,49,Salt Lake City,549,1960,,,,,,,,,,,,,,,,,
8,9,2019,R64,Syracuse,Baylor,-2,69,78,Salt Lake City,1831,1039,,,,,,,,,,,,,,,,,
5,12,2019,R64,Marquette,Murray State,-4,64,83,Hartford CT,782,908,,,,,,,,,,,,,,,,,
4,13,2019,R64,Florida State,Vermont,-11,76,69,Hartford CT,1014,189,,,,,,,,,,,,,,,,,
6,11,2019,R64,Buffalo,Arizona State,-4.5,91,74,Tulsa OK,1024,923,,,,,,,,,,,,,,,,,
3,14,2019,R64,Texas Tech,Northern Kentucky,-14,72,57,Tulsa OK,378,661,,,,,,,,,,,,,,,,,
7,10,2019,R64,Nevada,Florida,-2.5,61,70,Des Moines IA,1377,1038,,,,,,,,,,,,,,,,,
2,15,2019,R64,Michigan,Montana,-16,74,55,Des Moines IA,510,1068,,,,,,,,,,,,,,,,,
1,16,2018,R64,Villanova,Radford,-20.5,87,61,Pittsburgh PA,247,231,,,,,,,,,,,,,,,,,
8,9,2018,R64,Virginia Tech,Alabama,-2,83,86,Pittsburgh PA,223,651,,,,,,,,,,,,,,,,,
5,12,2018,R64,West Virginia,Murray State,-9,85,68,San Diego CA,2113,1655,,,,,,,,,,,,,,,,,
4,13,2018,R64,Wichita State,Marshall,-12.5,75,81,San Diego CA,1171,1978,,,,,,,,,,,,,,,,,
6,11,2018,R64,Florida,St. Bonaventure,-5.5,77,62,Dallas TX,880,1189,,,,,,,,,,,,,,,,,
3,14,2018,R64,Texas Tech,Stephen F. Austin,-11,70,60,Dallas TX,299,149,,,,,,,,,,,,,,,,,
7,10,2018,R64,Arkansas,Butler,-1,62,79,Detroit MI,735,237,,,,,,,,,,,,,,,,,
2,15,2018,R64,Purdue,Cal State Fullerton,-21,74,48,Detroit MI,240,1966,,,,,,,,,,,,,,,,,
1,16,2018,R64,Kansas,Penn,-14.5,76,60,Wichita KS,144,1199,,,,,,,,,,,,,,,,,
8,9,2018,R64,Seton Hall,NC State,-2,94,83,Wichita KS,1250,1040,,,,,,,,,,,,,,,,,
5,12,2018,R64,Clemson,New Mexico State,-4,79,68,San Diego CA,1968,607,,,,,,,,,,,,,,,,,
4,13,2018,R64,Auburn,Charleston,-11,62,58,San Diego CA,1836,2152,,,,,,,,,,,,,,,,,
6,11,2018,R64,TCU,Syracuse,-4,52,57,Detroit MI,1026,354,,,,,,,,,,,,,,,,,
3,14,2018,R64,Michigan State,Bucknell,-13.5,82,78,Detroit MI,77,332,,,,,,,,,,,,,,,,,
7,10,2018,R64,Rhode Island,Oklahoma,-1.5,83,78,Pittsburgh PA,447,1017,,,,,,,,,,,,,,,,,
2,15,2018,R64,Duke,Iona,-20,89,67,Pittsburgh PA,312,322,,,,,,,,,,,,,,,,,
1,16,2018,R64,Virginia,UMBC,-22.5,54,74,Charlotte NC,233,359,,,,,,,,,,,,,,,,,
8,9,2018,R64,Creighton,Kansas State,-2,59,69,Charlotte NC,917,906,,,,,,,,,,,,,,,,,
